bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
414,46,74,0,0,1,4,1,1,1
415,49,78,0,0,1,4,1,1,1
416,50,83,0,0,1,4,1,1,1
417,55,82,0,0,1,4,1,1,1
418,59,86,0,0,1,4,1,1,1
419,60,81,0,0,1,4,1,1,1
420,63,78,0,0,1,4,1,1,1
421,59,81,0,0,1,4,1,1,1
422,64,80,0,0,1,4,1,1,1
423,61,84,0,0,1,4,1,1,1
424,56,83,0,0,1,4,1,1,1
425,52,80,0,0,1,4,1,1,1
426,56,82,0,0,1,4,1,1,1
427,54,78,0,0,1,4,1,1,1
428,51,73,0,0,1,4,1,1,1
429,47,70,0,0,1,4,1,1,1
430,45,75,0,0,1,4,1,1,1
431,41,72,0,0,1,4,1,1,1
432,45,70,0,0,1,4,1,1,1
433,41,68,0,0,1,4,1,1,1
434,37,65,0,0,1,4,1,1,1
435,39,69,0,0,1,4,1,1,1
436,37,74,0,0,1,4,1,1,1
437,32,72,0,0,1,4,1,1,1
438,30,68,0,0,1,4,1,1,1
439,27,72,0,0,1,4,1,1,1
440,22,71,0,0,1,4,1,1,1
441,25,75,0,0,1,4,1,1,1
442,20,74,0,0,1,4,1,1,1
443,23,78,0,0,1,4,1,1,1
444,21,73,0,0,1,4,1,1,1
445,20,68,0,0,1,4,1,1,1
446,21,73,0,0,1,4,1,1,1
447,19,69,0,0,1,4,1,1,1
448,19,64,0,0,1,4,1,1,1
449,24,65,0,0,1,4,1,1,1
450,19,63,0,0,1,4,1,1,1
451,15,61,0,0,1,4,1,1,1
452,17,65,0,0,1,4,1,1,1
453,17,70,0,0,1,4,1,1,1
454,18,75,0,0,1,4,1,1,1
455,17,70,0,0,1,4,1,1,1
456,12,69,0,0,1,4,1,1,1
457,9,73,0,0,1,4,1,1,1
458,5,71,0,0,1,4,1,1,1
459,7,67,0,0,1,4,1,1,1
460,12,66,0,0,1,4,1,1,1
461,7,66,0,0,1,4,1,1,1
462,2,68,0,0,1,4,1,1,1
463,4,73,0,0,1,4,1,1,1
464,3,77,0,0,1,4,1,1,1
465,5,82,0,0,1,4,1,1,1
466,2,86,0,0,1,4,1,1,1
467,1,91,0,0,1,4,1,1,1
468,2,86,0,0,1,4,1,1,1
469,6,83,0,0,1,4,1,1,1
470,5,88,0,0,1,4,1,1,1
471,2,92,0,0,1,4,1,1,1
472,5,96,0,0,1,4,1,1,1
